"Name","Disc. Date","mmax","Host Name","R.A.","Dec.","Type","Phot.","Spec.","Radio","X-ray"
"SN2001en","2001/09/26","14.2","NGC 523","01:25:22.90","+34:01:30.5,+34:01:30.50","Ia","185","12","",""
"SN2008s1","2008/05/16","15.53","UGC 8472","13:29:12.84,13:29:12.96,13:29:12.82","+11:16:20.5,+11:16:20.64,+11:16:20.6","Ia","185","20","",""
"SN2007bc","2007/04/04","15.82","UGC 6332","11:19:16.627,11:19:14.64,11:19:14.57","+20:48:48.70,+20:48:32.40,+20:48:32.5,+20:48:32.51","Ia","183","13","",""
"SN2002ha","2002/10/21","14.5","NGC 6962","20:47:18.58,20:47:18.48","+00:18:45.6,+00:18:45.7,+00:18:45.61","Ia","181","11","",""
"SN2003kf","2003/11/27","14.14","MCG -02-16-02","06:04:35.42","-12:37:42.8,-12:37:42.82","Ia","181","28","",""
"SN2002es","2002/08/23","15.8","UGC 2708","03:23:47.23","+40:33:53.5,+40:33:53.50","Ia Pec","180","12","",""
"SN2002fb","2002/09/06","16.28","NGC 759","01:57:48.90","+36:20:26.3,+36:20:26.30","Ia-91bg","180","10","",""
"SN2007N","2007/01/21","16.26","MCG -01-33-12","12:49:01.25,12:49:1.20","-09:27:10.2,-09:27:10.19","Ia Pec","179","7","",""
"SN1999ek","1999/10/20","16.08","UGC 3329","05:36:31.60","+16:38:17.8,+16:38:17.81","Ia","178","5","",""
"SN2006bh","2006/04/02","14.38","NGC 7329","22:40:16.10,22:40:16.08","-66:29:06.3,-66:29:06.36,-66:29:06.29","Ia","177","2","",""
"SN2008ar","2008/02/27","16.34","IC 3284","12:24:37.92,12:24:37.922","+10:50:17.4,+10:50:16.74,+10:50:17.41","Ia","177","35","",""
"SN2017ets","2017/06/16","15.66","CGCG 137-064","16:13:46.15,16:13:46.150,16:13:46.08,16:13:46.14","+22:54:59.14,+22:54:59.4","Ia","177","1","",""
"SN2000cn","2000/06/02","16.42","UGC 11064","17:57:40.42","+27:49:58.1,+27:49:58.12","Ia","176","12","",""
"SN2005gj","2005/09/26","17.02","SDSS J030111.99-003313.5","03:01:11.96,03:01:12.0,03:01:11.952,03:01:11.928","-00:33:13.9,-00:33:14,-00:33:13.932,-00:33:13.914,-00:33:14.1696,-00:33:13.90","Ia","176","16","0",""
"SN2012ht","2012/12/18","12.91","NGC 3447","10:53:22.75","+16:46:34.9,+16:46:34.90","Ia","174","26","0",""
